pid,year,yearly_total,cumulative_amount
124,2020,181301.0,581060.0
124,2021,39208.0,620268.0
124,2022,39886.0,660154.0
124,2023,39719.0,699873.0
126,1997,2460.0,2460.0
128,2000,2540.0,2540.0
128,2001,950.0,3490.0
129,2000,2300.0,2300.0
129,2001,1230.0,3530.0
129,2002,24552.0,28082.0
129,2003,1650.0,29732.0
129,2004,13500.0,43232.0
129,2005,26000.0,69232.0
129,2006,15000.0,84232.0
129,2007,5000.0,89232.0
130,2000,2000.0,2000.0
131,1995,1052.0,1052.0
131,1996,545.0,1597.0
131,1997,915.0,2512.0
131,1998,300.0,2812.0
131,1999,600.0,3412.0
131,2000,2000.0,5412.0
132,1999,7300.0,7300.0
132,2001,9800.0,17100.0
132,2002,8601.0,25701.0
132,2003,5168.0,30869.0
132,2004,8330.0,39199.0
133,1998,500.0,500.0
133,1999,1100.0,1600.0
133,2000,400.0,2000.0
133,2001,1500.0,3500.0
133,2002,1500.0,5000.0
134,1999,4000.0,4000.0
134,2000,1700.0,5700.0
134,2001,2600.0,8300.0
134,2002,2500.0,10800.0
134,2003,6500.0,17300.0
134,2004,3500.0,20800.0
134,2005,3500.0,24300.0
135,1997,777.0,777.0
136,1999,2500.0,2500.0
136,2000,2800.0,5300.0
137,1994,1700.0,1700.0
137,1995,1700.0,3400.0
137,1996,850.0,4250.0
137,2001,1680.0,5930.0
137,2002,3600.0,9530.0
137,2003,3600.0,13130.0
137,2004,3600.0,16730.0
137,2005,4200.0,20930.0
137,2006,5476.0,26406.0
137,2007,5150.0,31556.0
137,2008,5120.0,36676.0
137,2009,6900.0,43576.0
137,2010,7020.0,50596.0
137,2011,6612.0,57208.0
138,1999,400.0,400.0
138,2000,6164.0,6564.0
138,2001,3556.0,10120.0
139,1995,2000.0,2000.0
139,1998,500.0,2500.0
140,2000,5700.0,5700.0
140,2001,1600.0,7300.0
141,1993,2200.0,2200.0
141,1994,1200.0,3400.0
141,1995,2000.0,5400.0
141,1996,1200.0,6600.0
141,1997,1500.0,8100.0
141,1999,1500.0,9600.0
141,2000,1500.0,11100.0
141,2002,1000.0,12100.0
141,2003,1000.0,13100.0
141,2005,1000.0,14100.0
141,2006,1000.0,15100.0
141,2007,1500.0,16600.0
141,2008,1500.0,18100.0
142,2000,4500.0,4500.0
142,2002,2500.0,7000.0
142,2003,5500.0,12500.0
142,2009,10500.0,23000.0
143,1999,700.0,700.0
143,2000,700.0,1400.0
144,1997,2500.0,2500.0
144,1998,600.0,3100.0
145,1998,2500.0,2500.0
145,1999,1250.0,3750.0
146,1995,100.0,100.0
146,1999,600.0,700.0
147,1998,500.0,500.0
147,1999,500.0,1000.0
147,2000,500.0,1500.0
147,2001,500.0,2000.0
147,2002,500.0,2500.0
148,1996,2000.0,2000.0
148,1997,7250.0,9250.0
148,1998,3396.0,12646.0
148,1999,7200.0,19846.0
148,2000,5571.0,25417.0
148,2001,12300.0,37717.0
148,2002,15000.0,52717.0
148,2003,13500.0,66217.0
148,2005,10500.0,76717.0
150,2000,450.0,450.0
151,1995,500.0,500.0
152,1999,1903.0,1903.0
153,2000,8541.0,8541.0
153,2001,23099.0,31640.0
153,2002,14158.0,45798.0
154,1999,1768.0,1768.0
154,2000,827.0,2595.0
154,2001,1850.0,4445.0
154,2002,7000.0,11445.0
154,2003,10600.0,22045.0
154,2004,7000.0,29045.0
154,2005,6202.0,35247.0
155,1999,2000.0,2000.0
155,2000,5350.0,7350.0
155,2001,11434.0,18784.0
155,2002,12168.0,30952.0
155,2003,12400.0,43352.0
155,2004,6400.0,49752.0
155,2005,7000.0,56752.0
155,2006,30000.0,86752.0
155,2007,20730.0,107482.0
155,2008,15580.0,123062.0
155,2009,38020.0,161082.0
155,2010,18550.0,179632.0
155,2011,9700.0,189332.0
155,2012,33800.0,223132.0
155,2013,15940.0,239072.0
155,2014,14454.0,253526.0
155,2015,27479.0,281005.0
155,2016,12027.0,293032.0
155,2017,25313.0,318345.0
155,2018,25831.0,344176.0
155,2019,13184.0,357360.0
155,2020,6774.0,364134.0
155,2021,16175.0,380309.0
155,2022,17508.0,397817.0
155,2023,17876.0,415693.0
156,1996,1000.0,1000.0
156,1997,500.0,1500.0
156,1999,1800.0,3300.0
156,2000,1800.0,5100.0
156,2001,1800.0,6900.0
156,2002,4500.0,11400.0
156,2003,1500.0,12900.0
156,2004,3600.0,16500.0
156,2012,6000.0,22500.0
157,1993,3000.0,3000.0
157,1994,3000.0,6000.0
157,1995,500.0,6500.0
158,1999,1000.0,1000.0
159,2000,3600.0,3600.0
159,2001,2000.0,5600.0
159,2002,2000.0,7600.0
159,2003,2000.0,9600.0
160,1999,1500.0,1500.0
161,1996,3000.0,3000.0
161,1997,1000.0,4000.0
161,1999,9325.0,13325.0
161,2000,4000.0,17325.0
161,2001,4000.0,21325.0
161,2003,4900.0,26225.0
161,2004,4400.0,30625.0
161,2005,8020.0,38645.0
161,2006,8502.0,47147.0
161,2007,27075.0,74222.0
161,2008,28500.0,102722.0
161,2010,62309.0,165031.0
161,2011,19712.0,184743.0
161,2013,40496.0,225239.0
161,2014,22809.0,248048.0
161,2015,24081.0,272129.0
161,2016,40211.0,312340.0
161,2017,28210.0,340550.0
161,2018,27436.0,367986.0
161,2019,30777.0,398763.0
162,2000,13350.0,13350.0
164,1999,500.0,500.0
165,2000,1500.0,1500.0
166,1996,1000.0,1000.0
166,1997,1400.0,2400.0
166,1998,610.0,3010.0
166,1999,800.0,3810.0
166,2000,1650.0,5460.0
166,2001,5500.0,10960.0
166,2002,2000.0,12960.0
166,2003,3740.0,16700.0
166,2004,2000.0,18700.0
166,2005,1500.0,20200.0
166,2008,7000.0,27200.0
166,2010,7000.0,34200.0
166,2011,10200.0,44400.0
166,2012,7000.0,51400.0
166,2013,7704.0,59104.0
166,2014,18306.0,77410.0
166,2015,17679.0,95089.0
166,2016,19165.0,114254.0
166,2017,4981.0,119235.0
166,2018,15760.0,134995.0
166,2019,22847.0,157842.0
166,2020,11240.0,169082.0
166,2022,27556.0,196638.0
166,2023,12096.0,208734.0
168,1998,2500.0,2500.0
168,1999,2500.0,5000.0
168,2000,2500.0,7500.0
169,1999,20600.0,20600.0
169,2000,1600.0,22200.0
169,2002,500.0,22700.0
170,1999,2970.0,2970.0
170,2007,5000.0,7970.0
171,2000,2500.0,2500.0
172,1998,500.0,500.0
174,1997,825.0,825.0
174,1998,550.0,1375.0
175,1998,325.0,325.0
176,2000,5000.0,5000.0
176,2001,6940.0,11940.0
176,2002,5016.0,16956.0
176,2003,2442.0,19398.0
176,2004,11807.0,31205.0
176,2005,7920.0,39125.0
176,2007,10912.0,50037.0
176,2008,9587.0,59624.0
176,2009,7300.0,66924.0
176,2010,10300.0,77224.0
176,2011,8638.0,85862.0
177,2000,1000.0,1000.0
178,1998,1250.0,1250.0
179,1997,2762.0,2762.0
179,1998,3697.0,6459.0
179,1999,2380.0,8839.0
179,2000,4440.0,13279.0
179,2001,1220.0,14499.0
179,2002,1260.0,15759.0
180,1998,500.0,500.0
180,1999,500.0,1000.0
180,2001,1090.0,2090.0
181,1998,1100.0,1100.0
182,1996,1500.0,1500.0
183,1999,15121.0,15121.0
184,1996,3000.0,3000.0
184,1997,2000.0,5000.0
184,1999,3000.0,8000.0
184,2000,3700.0,11700.0
184,2001,3000.0,14700.0
184,2002,6300.0,21000.0
184,2003,3000.0,24000.0
184,2004,3000.0,27000.0
184,2005,3000.0,30000.0
184,2007,3000.0,33000.0
184,2016,4495.0,37495.0
184,2017,7870.0,45365.0
184,2018,7598.0,52963.0
185,2000,2000.0,2000.0
185,2001,1200.0,3200.0
186,2000,800.0,800.0
187,2000,6000.0,6000.0
187,2001,1500.0,7500.0
188,1997,1500.0,1500.0
189,1999,2500.0,2500.0
189,2000,4325.0,6825.0
189,2001,8929.0,15754.0
189,2002,8355.0,24109.0
189,2003,2205.0,26314.0
190,1999,500.0,500.0
191,1998,1950.0,1950.0
191,2000,1090.0,3040.0
191,2001,6000.0,9040.0
191,2003,800.0,9840.0
192,1997,3000.0,3000.0
192,1998,2100.0,5100.0
192,1999,900.0,6000.0
192,2000,10500.0,16500.0
192,2001,3100.0,19600.0
192,2003,3000.0,22600.0
192,2004,3500.0,26100.0
192,2005,1750.0,27850.0
192,2007,3500.0,31350.0
192,2008,3230.0,34580.0
192,2009,3330.0,37910.0
192,2010,1625.0,39535.0
192,2011,1525.0,41060.0
192,2013,2760.0,43820.0
192,2015,14556.0,58376.0
193,1999,4000.0,4000.0
193,2000,12000.0,16000.0
193,2001,30000.0,46000.0
193,2002,15000.0,61000.0
193,2004,20000.0,81000.0
193,2005,19520.0,100520.0
193,2006,25995.0,126515.0
193,2007,25120.0,151635.0
193,2008,22895.0,174530.0
193,2009,21000.0,195530.0
193,2010,23500.0,219030.0
193,2011,24750.0,243780.0
194,1991,540.0,540.0
194,1992,360.0,900.0
194,1993,540.0,1440.0
194,1994,525.0,1965.0
194,1996,1085.0,3050.0
194,1997,800.0,3850.0
194,1999,2190.0,6040.0
195,1991,500.0,500.0
195,1992,900.0,1400.0
195,1993,1620.0,3020.0
195,1994,240.0,3260.0
195,1995,2470.0,5730.0
195,1996,1091.0,6821.0
195,1997,1320.0,8141.0
195,1998,1080.0,9221.0
195,1999,1080.0,10301.0
